customer_id,age,annual_income,credit_score,employment_type,loan_amount,loan_tenure_months,existing_loans,recency_days,frequency,monetary,default
CUST00001,26,77405,703,Self-Employed,264768,24,0,297,10,20927,1
CUST00002,47,67686,653,Self-Employed,83108,12,2,45,13,56091,1
CUST00003,25,44125,688,Salaried,123358,36,2,121,29,29645,1
CUST00004,41,15000,687,Salaried,65321,12,0,132,1,7327,0
CUST00005,45,75053,638,Salaried,338620,24,1,131,29,16097,1
CUST00006,61,31143,752,Salaried,337106,60,1,269,7,66953,1
CUST00007,50,30837,700,Salaried,221567,24,2,193,28,65464,1
CUST00008,36,53816,712,Business,192199,48,2,67,11,49632,1
CUST00009,45,67847,749,Salaried,61240,48,0,257,25,5000,0
CUST00010,30,57497,777,Business,196677,12,1,263,12,66378,1
CUST00011,47,65711,648,Self-Employed,190869,36,0,268,20,45313,1
CUST00012,64,44244,571,Salaried,98718,48,0,53,12,57584,1
CUST00013,48,79331,559,Self-Employed,218536,36,0,165,24,35159,1
CUST00014,30,57604,604,Business,221654,24,1,291,10,58896,1
CUST00015,61,38702,670,Self-Employed,95338,48,1,8,1,71814,1
CUST00016,60,57752,723,Self-Employed,132408,24,0,331,26,5708,0
CUST00017,26,72845,612,Business,65856,24,0,164,11,47056,1
CUST00018,29,43389,760,Self-Employed,340482,24,0,195,29,71034,1
CUST00019,66,100555,594,Self-Employed,313757,24,1,343,9,86459,1
CUST00020,22,59391,807,Salaried,137362,60,0,46,8,51481,0
CUST00021,33,72724,638,Business,334236,60,1,73,29,65863,1
CUST00022,28,29666,700,Freelance,178776,24,1,213,6,49236,1
CUST00023,41,50435,563,Business,179978,36,2,170,18,40594,1
CUST00024,66,21966,622,Salaried,136214,24,0,200,15,36827,1
CUST00025,27,67436,706,Salaried,267060,48,0,21,3,5000,1
CUST00026,46,29540,610,Salaried,203388,24,1,328,7,67418,1
CUST00027,22,73844,818,Salaried,75918,48,0,362,26,95744,0
CUST00028,56,31617,588,Business,336665,24,0,81,11,67284,1
CUST00029,31,75427,688,Salaried,238635,24,0,162,21,46092,1
CUST00030,36,61930,693,Self-Employed,243424,36,3,129,12,46401,1
CUST00031,60,73715,719,Salaried,133762,36,1,342,19,27745,1
CUST00032,26,65805,630,Salaried,239761,48,2,93,10,35858,1
CUST00033,31,61380,703,Salaried,43798,24,0,68,2,48715,0
CUST00034,45,74772,637,Salaried,106613,60,1,43,21,61338,1
CUST00035,57,51591,721,Business,131903,48,0,118,9,51751,0
CUST00036,25,33523,588,Salaried,183701,36,1,60,3,65954,1
CUST00037,30,93968,662,Self-Employed,158228,48,0,341,17,50416,1
CUST00038,41,52399,818,Salaried,151369,12,0,88,5,66881,0
CUST00039,23,76127,589,Salaried,273819,36,0,143,26,37749,1
CUST00040,22,66688,603,Salaried,219559,36,1,285,16,26944,1
CUST00041,38,55304,634,Self-Employed,207861,36,3,196,9,7065,1
