customer_id,age,annual_income,credit_score,employment_type,loan_amount,loan_tenure_months,existing_loans,recency_days,frequency,monetary,default,R,F,M,RFM_Score,segment,risk_score,risk_tier,estimated_clv
CUST00001,26,77405,703,Self-Employed,264768,24,0,297,10,20927,1,1,2,1,4,Lost,100.0,Critical Risk,229036.0
CUST00002,47,67686,653,Self-Employed,83108,12,2,45,13,56091,1,4,2,3,9,Loyal,62.6,High Risk,3265666.0
CUST00003,25,44125,688,Salaried,123358,36,2,121,29,29645,1,3,4,1,8,Loyal,97.6,Critical Risk,1992332.0
CUST00004,41,15000,687,Salaried,65321,12,0,132,1,7327,0,3,1,1,5,Lost,100.0,Critical Risk,15872.0
CUST00005,45,75053,638,Salaried,338620,24,1,131,29,16097,1,3,4,1,8,Loyal,100.0,Critical Risk,1017234.0
CUST00006,61,31143,752,Salaried,337106,60,1,269,7,66953,1,2,1,4,7,At Risk,100.0,Critical Risk,559951.0
CUST00007,50,30837,700,Salaried,221567,24,2,193,28,65464,1,2,4,4,10,Champions,100.0,Critical Risk,2915216.0
CUST00008,36,53816,712,Business,192199,48,2,67,11,49632,1,4,2,3,9,Loyal,100.0,Critical Risk,1925338.0
CUST00009,45,67847,749,Salaried,61240,48,0,257,25,5000,0,2,4,1,7,At Risk,46.5,Medium Risk,155451.0
CUST00010,30,57497,777,Business,196677,12,1,263,12,66378,1,2,2,4,8,Loyal,100.0,Critical Risk,970737.0
CUST00011,47,65711,648,Self-Employed,190869,36,0,268,20,45313,1,2,3,3,8,Loyal,94.8,Critical Risk,1086322.0
CUST00012,64,44244,571,Salaried,98718,48,0,53,12,57584,1,4,2,3,9,Loyal,69.3,High Risk,2818077.0
CUST00013,48,79331,559,Self-Employed,218536,36,0,165,24,35159,1,3,4,2,9,Loyal,89.8,Critical Risk,1528500.0
CUST00014,30,57604,604,Business,221654,24,1,291,10,58896,1,1,2,4,7,At Risk,100.0,Critical Risk,656398.0
CUST00015,61,38702,670,Self-Employed,95338,48,1,8,1,71814,1,4,1,4,9,Loyal,73.0,High Risk,589036.0
CUST00016,60,57752,723,Self-Employed,132408,24,0,331,26,5708,0,1,4,1,6,At Risk,82.3,Critical Risk,147398.0
CUST00017,26,72845,612,Business,65856,24,0,164,11,47056,1,3,2,3,8,Loyal,48.9,Medium Risk,942293.0
CUST00018,29,43389,760,Self-Employed,340482,24,0,195,29,71034,1,2,4,4,10,Champions,100.0,Critical Risk,3247926.0
CUST00019,66,100555,594,Self-Employed,313757,24,1,343,9,86459,1,1,2,4,7,At Risk,100.0,Critical Risk,748400.0
CUST00020,22,59391,807,Salaried,137362,60,0,46,8,51481,0,4,1,3,8,Loyal,53.2,High Risk,1822115.0
CUST00021,33,72724,638,Business,334236,60,1,73,29,65863,1,4,4,4,12,Champions,100.0,Critical Risk,6366757.0
CUST00022,28,29666,700,Freelance,178776,24,1,213,6,49236,1,2,1,3,6,At Risk,100.0,Critical Risk,432172.0
CUST00023,41,50435,563,Business,179978,36,2,170,18,40594,1,3,3,2,8,Loyal,100.0,Critical Risk,1291538.0
CUST00024,66,21966,622,Salaried,136214,24,0,200,15,36827,1,2,2,2,6,At Risk,100.0,Critical Risk,852549.0
CUST00025,27,67436,706,Salaried,267060,48,0,21,3,5000,1,4,1,1,6,At Risk,91.4,Critical Risk,95217.0
CUST00026,46,29540,610,Salaried,203388,24,1,328,7,67418,1,1,1,4,6,At Risk,100.0,Critical Risk,472573.0
CUST00027,22,73844,818,Salaried,75918,48,0,362,26,95744,0,1,4,4,9,Loyal,52.6,High Risk,2280077.0
CUST00028,56,31617,588,Business,336665,24,0,81,11,67284,1,4,2,4,10,Champions,100.0,Critical Risk,2299109.0
CUST00029,31,75427,688,Salaried,238635,24,0,162,21,46092,1,3,3,3,9,Loyal,88.4,Critical Risk,1779825.0
CUST00030,36,61930,693,Self-Employed,243424,36,3,129,12,46401,1,3,2,3,8,Loyal,100.0,Critical Risk,1228014.0
CUST00031,60,73715,719,Salaried,133762,36,1,342,19,27745,1,1,3,1,5,Lost,83.9,Critical Risk,508353.0
CUST00032,26,65805,630,Salaried,239761,48,2,93,10,35858,1,3,2,2,7,At Risk,100.0,Critical Risk,1010669.0
CUST00033,31,61380,703,Salaried,43798,24,0,68,2,48715,0,4,1,3,8,Loyal,30.6,Medium Risk,340306.0
CUST00034,45,74772,637,Salaried,106613,60,1,43,21,61338,1,4,3,4,11,Champions,57.5,High Risk,5913909.0
CUST00035,57,51591,721,Business,131903,48,0,118,9,51751,0,3,2,3,8,Loyal,70.2,High Risk,1100337.0
CUST00036,25,33523,588,Salaried,183701,36,1,60,3,65954,1,4,1,4,9,Loyal,100.0,Critical Risk,748390.0
CUST00037,30,93968,662,Self-Employed,158228,48,0,341,17,50416,1,1,3,3,7,At Risk,75.4,Critical Risk,828692.0
CUST00038,41,52399,818,Salaried,151369,12,0,88,5,66881,0,4,1,4,9,Loyal,67.3,High Risk,980384.0
CUST00039,23,76127,589,Salaried,273819,36,0,143,26,37749,1,3,4,2,9,Loyal,100.0,Critical Risk,1995755.0
CUST00040,22,66688,603,Salaried,219559,36,1,285,16,26944,1,1,3,1,5,Lost,100.0,Critical Risk,489434.0
CUST00041,38,55304,634,Self-Employed,207861,36,3,196,9,7065,1,2,2,1,5,Lost,100.0,Critical Risk,99822.0
CUST00042,53,61086,787,Salaried,53422,48,1,268,1,62785,0,2,1,4,7,At Risk,54.1,High Risk,75260.0
CUST00043,51,58680,671,Salaried,20000,60,0,335,27,74343,0,1,4,4,9,Loyal,47.4,Medium Risk,1972141.0
CUST00044,66,61982,801,Self-Employed,67488,36,0,327,17,23546,0,1,3,1,5,Lost,52.2,High Risk,401934.0
CUST00045,50,43040,645,Business,253777,12,2,207,12,42904,1,2,2,2,6,At Risk,100.0,Critical Risk,771743.0
CUST00046,29,42962,669,Business,183083,48,1,323,20,42222,1,1,3,2,6,At Risk,100.0,Critical Risk,857359.0
CUST00047,45,26948,591,Self-Employed,200868,12,1,72,5,22911,1,4,1,1,6,At Risk,100.0,Critical Risk,385369.0
CUST00048,32,67904,665,Business,123752,24,2,191,25,16807,1,2,4,1,7,At Risk,85.6,Critical Risk,674127.0
